customerId,name,email,password
C001,John Doe,john.doe@example.com,passwors123
C002,Jane Smith,jane.smith@example.com,passwors123
C003,Alice Johnson,alice.johnson@example.com,passwors124
C004,Bob Brown,bob.brown@example.com,passwors125
C005,Charlie Davis,charlie.davis@example.com,passwors126
C006,Diana Evans,diana.evans@example.com,passwors127
C007,Eve Foster,eve.foster@example.com,passwors128
C008,Frank Green,frank.green@example.com,passwors129
C009,Grace Harris,grace.harris@example.com,passwors130
C010,Hank Ivan,hank.ivan@example.com,passwors131
